Serial Number:20850768 --

"Date Time, GMT -0400","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2022-06-14 02:31:59,27.88,0, , , , 
2022-06-14 02:33:59,27.93,0, , , , 
2022-06-14 02:35:59,27.93,0, , , , 
2022-06-14 02:37:59,27.93,0, , , , 
2022-06-14 02:39:59,27.93,0, , , , 
2022-06-14 02:41:59,27.93,0, , , , 
2022-06-14 02:43:59,27.88,0, , , , 
2022-06-14 02:45:59,27.88,0, , , , 
2022-06-14 02:47:59,27.93,0, , , , 
2022-06-14 02:49:59,27.88,0, , , , 
2022-06-14 02:51:59,27.88,0, , , , 
2022-06-14 02:53:59,27.88,0, , , , 
2022-06-14 02:55:59,27.93,0, , , , 
2022-06-14 02:57:59,27.88,0, , , , 
2022-06-14 02:59:59,27.88,0, , , , 
2022-06-14 03:01:59,27.84,0, , , , 
2022-06-14 03:03:59,27.84,0, , , , 
2022-06-14 03:05:59,27.84,0, , , , 
2022-06-14 03:07:59,27.80,0, , , , 
2022-06-14 03:09:59,27.80,0, , , , 
2022-06-14 03:11:59,27.80,0, , , , 
2022-06-14 03:13:59,27.84,0, , , , 
2022-06-14 03:15:59,27.84,0, , , , 
2022-06-14 03:17:59,27.80,0, , , , 
2022-06-14 03:19:59,27.84,0, , , , 
2022-06-14 03:21:59,27.84,0, , , , 
2022-06-14 03:23:59,27.80,0, , , , 
2022-06-14 03:25:59,27.84,0, , , , 
2022-06-14 03:27:59,27.84,0, , , , 
2022-06-14 03:29:59,27.84,0, , , , 
2022-06-14 03:31:59,27.80,0, , , , 
2022-06-14 03:33:59,27.84,0, , , , 
2022-06-14 03:35:59,27.84,0, , , , 
2022-06-14 03:37:59,27.84,4, , , , 
2022-06-14 03:39:59,27.88,0, , , , 
2022-06-14 03:41:59,27.93,5, , , , 
2022-06-14 03:43:59,27.88,0, , , , 
2022-06-14 03:45:59,27.88,4, , , , 
2022-06-14 03:47:59,27.93,5, , , , 
2022-06-14 03:49:59,27.84,5, , , , 
2022-06-14 03:51:59,27.88,5, , , , 
2022-06-14 03:53:59,27.88,5, , , , 
2022-06-14 03:55:59,27.84,5, , , , 
2022-06-14 03:57:59,27.88,5, , , , 
2022-06-14 03:59:59,27.88,5, , , , 
2022-06-14 04:01:59,27.93,5, , , , 
2022-06-14 04:03:59,27.88,5, , , , 
2022-06-14 04:05:59,27.88,5, , , , 
2022-06-14 04:07:59,27.80,5, , , , 
2022-06-14 04:09:59,27.93,5, , , , 
2022-06-14 04:11:59,27.88,5, , , , 
2022-06-14 04:13:59,27.84,5, , , , 
2022-06-14 04:15:59,27.84,5, , , , 
2022-06-14 04:17:59,27.88,5, , , , 
2022-06-14 04:19:59,27.88,5, , , , 
2022-06-14 04:21:59,27.84,5, , , , 
2022-06-14 04:23:59,27.88,5, , , , 
2022-06-14 04:25:59,27.88,5, , , , 
2022-06-14 04:27:59,27.84,5, , , , 
2022-06-14 04:29:59,27.84,5, , , , 
2022-06-14 04:31:59,27.84,5, , , , 
2022-06-14 04:33:59,27.88,5, , , , 
2022-06-14 04:35:59,27.88,5, , , , 
2022-06-14 04:37:59,27.88,5, , , , 
2022-06-14 04:39:59,27.84,5, , , , 
2022-06-14 04:41:59,27.84,5, , , , 
2022-06-14 04:43:59,27.88,5, , , , 
2022-06-14 04:45:59,27.84,5, , , , 
2022-06-14 04:47:59,27.80,5, , , , 
2022-06-14 04:49:59,27.84,5, , , , 
2022-06-14 04:51:59,27.84,5, , , , 
2022-06-14 04:53:59,27.88,5, , , , 
2022-06-14 04:55:59,27.80,5, , , , 
2022-06-14 04:57:59,27.88,5, , , , 
2022-06-14 04:59:59,27.88,5, , , , 
2022-06-14 05:01:59,27.88,5, , , , 
2022-06-14 05:03:59,27.84,5, , , , 
2022-06-14 05:05:59,27.88,5, , , , 
2022-06-14 05:07:59,27.88,5, , , , 
2022-06-14 05:09:59,27.88,5, , , , 
2022-06-14 05:11:59,27.93,5, , , , 
2022-06-14 05:13:59,27.88,5, , , , 
2022-06-14 05:15:59,27.93,5, , , , 
2022-06-14 05:17:59,27.93,5, , , , 
2022-06-14 05:19:59,27.88,5, , , , 
2022-06-14 05:21:59,27.88,5, , , , 
2022-06-14 05:23:59,27.97,5, , , , 
2022-06-14 05:25:59,27.97,5, , , , 
2022-06-14 05:27:59,27.93,5, , , , 
2022-06-14 05:29:59,27.97,5, , , , 
2022-06-14 05:31:59,27.93,5, , , , 
2022-06-14 05:33:59,27.93,5, , , , 
2022-06-14 05:35:59,27.93,0, , , , 
2022-06-14 05:37:59,27.97,0, , , , 
